"Gene","Degree","Betweenness","Eigen_Centrality","Community","Functional_Category","NDD_Association","Hub_Status"
"RIN2",10,1886.36235118867,0.0152076898405647,1,"Other Functions","No","Non-Hub"
"FGD5",10,1137.70556459651,0.00725448430351282,1,"Other Functions","No","Non-Hub"
"MVD",10,354.354489675706,0.00940166089242777,15,"Other Functions","No","Non-Hub"
"KYNU",10,1108.17635505524,0.022672653326429,3,"Other Functions","No","Non-Hub"
"ICOS",10,712.59136109383,0.118634370944651,8,"Other Functions","No","Non-Hub"
"THNSL2",10,995.260230176771,0.00567957549517105,1,"Other Functions","No","Non-Hub"
"GNAT1",10,499.495536841695,0.0608718512000711,7,"Other Functions","No","Non-Hub"
"GOLM2",10,2442.36041150903,0.00755778066143205,1,"Other Functions","No","Non-Hub"
"STS",10,1306.79189566225,0.0632817388028393,5,"Other Functions","No","Non-Hub"
"ATP6V0A1",10,642.7549560227,0.0258915714102425,9,"Other Functions","No","Non-Hub"
"SRRM1",10,304.190757941335,0.0198678394986449,6,"Other Functions","No","Non-Hub"
"ARHGEF3",10,1919.33272255914,0.0287439871151296,1,"Other Functions","No","Non-Hub"
"INPP4A",10,134.091345037807,0.039451472020747,11,"Other Functions","No","Non-Hub"
"LMX1A",10,691.07251130801,0.0258590650160526,12,"Other Functions","No","Non-Hub"
"ADRA1B",10,406.140472243381,0.0472926042249611,7,"Other Functions","No","Non-Hub"
"SLC38A6",10,1820.17079236026,0.00785749877860593,19,"Other Functions","No","Non-Hub"
"RIT2",10,291.223486001184,0.0492306912389099,11,"Other Functions","No","Non-Hub"
"TDRD7",10,1448.62439807062,0.0127538486148809,6,"Other Functions","No","Non-Hub"
"CRB2",10,1099.59385493166,0.0773314476628794,5,"Other Functions","No","Non-Hub"
"ADAMTS14",10,852.931463997658,0.00354794983876655,12,"Other Functions","No","Non-Hub"
"TBC1D13",10,1194.23461172055,0.0111684172095506,13,"Other Functions","No","Non-Hub"
"IFNA8",10,57.7006362638135,0.127569212968034,8,"Other Functions","No","Non-Hub"
"ARX",10,495.562367490511,0.0168803751985158,12,"Other Functions","No","Non-Hub"
"ARPC5L",10,200.404275234742,0.0244631844016578,15,"Other Functions","No","Non-Hub"
"IQSEC2",10,654.201656208274,0.036471372293791,7,"Other Functions","No","Non-Hub"
"DSCAM",10,237.466550426638,0.0406334882884474,3,"Other Functions","Yes","Non-Hub"
"ASXL2",10,155.623747353567,0.066432958842573,5,"Other Functions","No","Non-Hub"
"COL4A3",10,652.765505653416,0.036380112648678,10,"Other Functions","No","Non-Hub"
"TCTN1",10,1948.0569291178,0.015690413466469,13,"Other Functions","No","Non-Hub"
"ADAMTSL1",10,805.202775713188,0.0170599605681233,7,"Other Functions","No","Non-Hub"
"PKHD1",10,1737.28582209211,0.0110573272956167,3,"Other Functions","No","Non-Hub"
